site,O18_ET_mean,O18_ET_std,O18_slope_mean,O18_slope_std,O18_goodpoints,O18_frac_good_overall,H2_ET_mean,H2_ET_std,H2_slope_mean,H2_slope_std,H2_goodpoints,H2_frac_good_overall,C13_mean,C13_std,C13_slope_mean,C13_slope_std,C13_goodpoints,C13_frac_good_overall
ABBY,,,,,,,,,,,,,-27.490104964405223,1.6369194667718596,0.2757045886228851,0.16283287245996425,545,0.3643048128342246
BARR,-26.140991507869433,10.405038591217805,0.8390785689292559,0.5565527772894939,23,0.016911764705882352,-179.17618743617615,49.65470584075848,5.330583692176809,3.5033277926569117,56,0.041176470588235294,-25.600569382790166,4.579509913588577,0.5572025322336612,0.18688648454324377,33,0.022058823529411766
BART,,,,,,,,,,,,,-27.15474425171463,1.3286719970136218,0.2410891949588007,0.17407699506263474,534,0.356951871657754
BLAN,,,,,,,,,,,,,-26.56192141593577,1.52212569607446,0.2471188969162238,0.16074643054242038,791,0.5287433155080213
BONA,-25.103887183388057,6.161204070374146,0.6501148494776131,0.5297103563784716,136,0.1,-195.728494143696,38.88597330655182,3.654345749876443,3.975317601323172,259,0.19044117647058822,-26.467850489556128,1.3762000574564288,0.3163086700039597,0.2857611692461532,276,0.18449197860962566
CLBJ,-10.124669139274385,3.5876915188543483,0.2772469246995142,0.3185306556381979,133,0.09779411764705882,-72.35711108927694,29.83904222844072,1.7943793425753096,1.498466453370444,161,0.11838235294117647,-25.986566028438677,1.9478261645811406,0.2841909959611983,0.18320513690565854,586,0.3917112299465241
CPER,-17.455711433923494,6.035863419425013,0.4421582049856136,0.35364619780333595,277,0.2036764705882353,-135.6865974037373,50.25152875095749,3.1786251884464556,2.9389122744714133,358,0.26323529411764707,-25.865820499320222,4.800876512839841,0.4486714687174871,0.21718207951093546,398,0.2660427807486631
DCFS,,,,,,,,,,,,,-28.215942762698297,2.0635572450180035,0.382347815731336,0.17991041970263513,261,0.17446524064171123
DEJU,,,,,,,,,,,,,-26.503488502265125,2.193992305776667,0.2955021548539165,0.19506057408392652,357,0.23863636363636365
DELA,,,,,,,,,,,,,-27.269751231248648,1.619115698988506,0.27204134514687817,0.15602652053290175,538,0.35962566844919786
DSNY,,,,,,,,,,,,,-22.211532649958365,2.096687189356386,0.24198564372391312,0.12303449146992967,951,0.6356951871657754
GRSM,,,,,,,,,,,,,-24.161738951052445,4.956320704462067,0.29068865134840577,0.17240802727411994,571,0.38168449197860965
GUAN,-7.696576351172493,1.2023317415214045,0.2845302980593155,0.19910118354002726,86,0.06323529411764706,-51.55970595137461,8.920665313383248,1.9238215292561267,1.4100090375388763,91,0.06691176470588235,-29.025200441932178,2.1772700710576047,0.5041607294298323,0.20520206538848615,116,0.07754010695187166
HARV,-12.819162368546126,5.337461053860576,0.42863333573078105,0.36729599715455225,121,0.08897058823529412,-97.53457490007717,39.370987308026116,2.8894842842708934,2.6278495685615018,148,0.10882352941176471,-27.358832173515104,1.4135931820366008,0.3146385050882037,0.20721160458820861,509,0.34024064171123
HEAL,,,,,,,,,,,,,-26.024376179144387,2.0168520656429076,0.3803314997680622,0.1377083820086307,186,0.12433155080213903
JERC,,,,,,,,,,,,,-19.954959129662704,8.792787440486949,0.16658916189348946,0.11136476535654172,632,0.42245989304812837
JORN,,,,,,,,,,,,,-25.162966286471686,4.152242688318285,0.44106117773053766,0.18935603158130088,290,0.19385026737967914
KONA,,,,,,,,,,,,,-22.90448855262383,3.114638793981024,0.31096476465399137,0.18296727405995533,540,0.3609625668449198
KONZ,-16.27269494929552,7.612489164123451,0.43437548269698606,0.5456557618064365,169,0.12426470588235294,-128.04911115171,61.547540773337154,3.192444638936226,3.024144819179574,162,0.11911764705882352,-19.383552813939705,2.8270240992085642,0.3200129804674484,0.1388494362165276,374,0.25
