,dates,NEE_uStar_f,LH_f,VPD_orig,Tower_T,2DWindspeed,NetRadi,H2,O18,C13
0,2017-09-01,,,,,,,,,
1,2017-09-02,,,,,,,,,
2,2017-09-03,,,,,,,,,
3,2017-09-04,,,,,,,,,
4,2017-09-05,,,,,,,,,
5,2017-09-06,,,,,,,,,
6,2017-09-07,,,,,,,,,
7,2017-09-08,,,,,,,,,
8,2017-09-09,,,,,,,,,
9,2017-09-10,,,,,,,,,
10,2017-09-11,,,,,,,,,
11,2017-09-12,,,,,,,,,
12,2017-09-13,,,,,,,,,
13,2017-09-14,,,,,,,,,
14,2017-09-15,,,,,,,,,
15,2017-09-16,,,,,,,,,
16,2017-09-17,,,,,,,,,
17,2017-09-18,,,,,,,,,
18,2017-09-19,,,,,,,,,
19,2017-09-20,,,,,,,,,
20,2017-09-21,,,,,,,,,
21,2017-09-22,,,,,,,,,
22,2017-09-23,,,,,,,,,
23,2017-09-24,,,,,,,,,
24,2017-09-25,,,,,,,,,
25,2017-09-26,,,,,,,,,
26,2017-09-27,,,,,,,,,
27,2017-09-28,,,,,,,,,
28,2017-09-29,,,,,,,,,
29,2017-09-30,,,,,,,,,
30,2017-10-01,,,,,,,,,
31,2017-10-02,,,,,,,,,
32,2017-10-03,,,,,,,,,
33,2017-10-04,,,,,,,,,
34,2017-10-05,,,,,,,,,
35,2017-10-06,,,,,,,,,
36,2017-10-07,,,,,,,,,
37,2017-10-08,,,,,,,,,
38,2017-10-09,,,,,,,,,
39,2017-10-10,,,,,,,,,
40,2017-10-11,,,,,,,,,
41,2017-10-12,,,,,,,,,
42,2017-10-13,,,,,,,,,
43,2017-10-14,,,,,,,,,
44,2017-10-15,,,,,,,,,
45,2017-10-16,,,,,,,,,
46,2017-10-17,,,,,,,,,
47,2017-10-18,,,,,,,,,
48,2017-10-19,,,,,,,,,
49,2017-10-20,,,,,,,,,
50,2017-10-21,,,,,,,,,
51,2017-10-22,,,,,,,,,
52,2017-10-23,,,,,,,,,
53,2017-10-24,,,,,,,,,
54,2017-10-25,,,,,,,,,
55,2017-10-26,,,,,,,,,
56,2017-10-27,,,,,,,,,
57,2017-10-28,,,,,,,,,
58,2017-10-29,,,,,,,,,
59,2017-10-30,,,,,,,,,
60,2017-10-31,,,,,,,,,
61,2017-11-01,,,,,,,,,
62,2017-11-02,,,,,,,,,
